site_id,common_name,density
INME03R,Gray Junglefowl,0
INME03U,Gray Junglefowl,0
INOA03R,Gray Junglefowl,0
IPTO04R,Gray Junglefowl,0.017062637
IPTO04U,Gray Junglefowl,0.017062637
IPTO06R,Gray Junglefowl,0.025593955
IPTO06U,Gray Junglefowl,0.008531318
OLCAP2B,Gray Junglefowl,0
OLCAP3B,Gray Junglefowl,0
OLV110R,Gray Junglefowl,0.017062637
OLV110U,Gray Junglefowl,0
OLV208R,Gray Junglefowl,0
OLV208U,Gray Junglefowl,0.034125274
PANMP1B,Gray Junglefowl,0
PANMP2B,Gray Junglefowl,0.008531318
PANMP3B,Gray Junglefowl,0.017062637
SEL107R,Gray Junglefowl,0.017062637
SEL107U,Gray Junglefowl,0
SEL207R,Gray Junglefowl,0.017062637
SEL207U,Gray Junglefowl,0.008531318
STIN02R,Gray Junglefowl,0
STIN02U,Gray Junglefowl,0
THEN10U,Gray Junglefowl,0.008531318
UPMAP1B,Gray Junglefowl,0.025593955
UPMAP3B,Gray Junglefowl,0
UPMAP4B,Gray Junglefowl,0
UPMAP5B,Gray Junglefowl,0
UPMAP6B,Gray Junglefowl,0.025593955
VAR210R,Gray Junglefowl,0.008531318
VAR310R,Gray Junglefowl,0.008531318
VAR310U,Gray Junglefowl,0.025593955
VAR410R,Gray Junglefowl,0.008531318
VAR410U,Gray Junglefowl,0.017062637
HP36P1B,Puff-throated Babbler,0.028458019
HP36P3B,Puff-throated Babbler,0.056916039
HP36P4B,Puff-throated Babbler,0.021343514
HP37P1B,Puff-throated Babbler,0.042687029
HP37P2B,Puff-throated Babbler,0.028458019
HP37P4B,Puff-throated Babbler,0.028458019
HP4008R,Puff-throated Babbler,0
HP4008U,Puff-throated Babbler,0.007114505
INBS04R,Puff-throated Babbler,0.01422901
INBS04U,Puff-throated Babbler,0
INME03R,Puff-throated Babbler,0
INME03U,Puff-throated Babbler,0.01422901
INOA03R,Puff-throated Babbler,0.01422901
IPTO04R,Puff-throated Babbler,0
IPTO04U,Puff-throated Babbler,0.01422901
IPTO06R,Puff-throated Babbler,0
IPTO06U,Puff-throated Babbler,0.007114505
OLCAP2B,Puff-throated Babbler,0.035572524
OLCAP3B,Puff-throated Babbler,0.01422901
